,Country,Activity,Year
2294,USA,Swimming,1996
2304,USA,Surfing,1996
2306,USA,Surfing,1996
2327,USA,Surfing,1996
2334,USA,Surfing,1995
2336,USA,Surfing,1995
2337,USA,Surfing,1995
2340,USA,Surfing,1995
2341,USA,Swimming,1995
2346,USA,Swimming,1995
2347,USA,Surfing,1995
2350,USA,Surfing,1995
2352,USA,Swimming,1995
2354,USA,Surfing,1995
2358,USA,Swimming,1995
2359,USA,Surfing,1995
2364,USA,Surfing,1995
2369,USA,Swimming,1995
2373,USA,Surfing,1995
2379,USA,Surfing,1995
2380,USA,Swimming,1995
2381,USA,Swimming,1995
2382,USA,Swimming,1995
2386,USA,Surfing,1995
2415,USA,Surfing,1994
2419,USA,Surfing,1994
2420,USA,Swimming,1994
2421,USA,Surfing,1994
2431,USA,Surfing,1994
2433,USA,Surfing,1994
2438,USA,Surfing,1994
2449,USA,Surfing,1994
2454,USA,Surfing,1994
2460,USA,Surfing,1994
2461,USA,Surfing,1993
2462,USA,Swimming,1993
2466,USA,Surfing,1993
2467,USA,Swimming,1993
2469,USA,Surfing,1993
2478,USA,Surfing,1993
2496,USA,Swimming,1993
2512,USA,Surfing,1993
2520,USA,Surfing,1992
2521,USA,Surfing,1992
2525,USA,Surfing,1992
2528,USA,Surfing,1992
2533,USA,Surfing,1992
2540,USA,Surfing,1992
2579,USA,Surfing,1991
2580,USA,Surfing,1991
2584,USA,Swimming,1991
2590,USA,Swimming,1991
2592,USA,Surfing,1991
2596,USA,Surfing,1991
2606,USA,Surfing,1991
2614,USA,Surfing,1990
2615,USA,Surfing,1990
2619,USA,Surfing,1990
2620,USA,Surfing,1990
2621,USA,Surfing,1990
2626,USA,Surfing,1990
2627,USA,Surfing,1990
2630,USA,Surfing,1990
2648,USA,Surfing,1990
2659,USA,Surfing,1989
2666,USA,Surfing,1989
2669,USA,Swimming,1989
2677,USA,Surfing,1989
2685,USA,Swimming,1989
2709,USA,Surfing,1988
2710,USA,Surfing,1988
2711,USA,Surfing,1988
2714,USA,Surfing,1988
2720,USA,Surfing,1988
2724,USA,Swimming,1988
2731,USA,Swimming,1988
2732,USA,Surfing,1988
2734,USA,Surfing,1988
2737,USA,Surfing,1988
2738,USA,Swimming,1988
2740,USA,Surfing,1988
2759,USA,Surfing,1987
2761,USA,Surfing,1987
2763,USA,Surfing,1987
2771,USA,Surfing,1987
2779,USA,Surfing,1987
2782,USA,Swimming,1987
2795,USA,Surfing,1986
2800,USA,Surfing,1986
2801,USA,Surfing,1986
2802,USA,Surfing,1986
2804,USA,Swimming,1986
2807,USA,Surfing,1986
2809,USA,Surfing,1986
2811,USA,Surfing,1986
2830,USA,Surfing,1986
2831,USA,Surfing,1986
2845,USA,Swimming,1985
2850,USA,Surfing,1985
2856,USA,Surfing,1985
2859,USA,Surfing,1985
2871,USA,Surfing,1984
2873,USA,Swimming,1984
2876,USA,Surfing,1984
2879,USA,Surfing,1984
2880,USA,Swimming,1984
2881,USA,Surfing,1984
2882,USA,Swimming,1984
2888,USA,Swimming,1984
2908,USA,Surfing,1984
2910,USA,Surfing,1983
2916,USA,Surfing,1983
2918,USA,Surfing,1983
2921,USA,Surfing,1983
2923,USA,Swimming,1983
2934,USA,Swimming,1983
2941,USA,Surfing,1983
2942,USA,Surfing,1983
2943,USA,Surfing,1983
2945,USA,Surfing,1983
2949,USA,Surfing,1983
2963,USA,Surfing,1982
2968,USA,Surfing,1982
2974,USA,Swimming,1982
2975,USA,Swimming,1982
2976,USA,Swimming,1982
2979,USA,Swimming,1982
2984,USA,Surfing,1982
2988,USA,Surfing,1982
2991,USA,Swimming,1982
2992,USA,Swimming,1982
2999,USA,Surfing,1981
3005,USA,Swimming,1981
3006,USA,Surfing,1981
3007,USA,Surfing,1981
3008,USA,Surfing,1981
3009,USA,Surfing,1981
3010,USA,Surfing,1981
3011,USA,Swimming,1981
3012,USA,Surfing,1981
3014,USA,Surfing,1981
3020,USA,Swimming,1981
3036,USA,Surfing,1981
3042,USA,Surfing,1981
3054,USA,Surfing,1980
3055,USA,Surfing,1980
3062,USA,Surfing,1980
3063,USA,Surfing,1980
